m,scenario,effect,segment_length,split_fraction,n_left,n_right,total_length,detector,population_gain,expected_gain_total,mean_raw_gain,mean_score,sd_score,critical_value,null_rate_zero_threshold,power_zero_threshold,power_calibrated,shift_accuracy,n_alt,n_null,alpha,optimizer_failures,seed,pattern_000,pattern_001,pattern_010,pattern_011,pattern_100,pattern_101,pattern_110,pattern_111
2,exact_orbit,0.18,400,0.5,400,400,800,shared_orbit,0.015941287790780412,12.75303023262433,12.364760279236533,12.364760279236533,4.924569466019802,-5.051696115739901,0.0,1.0,1.0,1.0,500,1000,0.05,0,599300047,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,800,0.5,800,800,1600,full,0.015941287790780467,25.506060465248748,25.856293498180356,22.86056122462637,6.9693082207708565,-1.1185336551515737,0.019,1.0,1.0,,500,1000,0.05,0,2820237880,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,800,0.5,800,800,1600,fundamental,0.015941287790780412,25.50606046524866,25.85629349818024,22.86056122462625,6.969308220770882,-1.1185336551520284,0.019,1.0,1.0,,500,1000,0.05,0,2820237880,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,800,0.5,800,800,1600,shared_orbit,0.015941287790780412,25.50606046524866,25.371554421887055,25.371554421887055,6.997089147292107,-15.07060606549544,0.0,1.0,1.0,1.0,500,1000,0.05,0,2820237880,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,1600,0.5,1600,1600,3200,full,0.015941287790780467,51.012120930497495,51.50895774582391,48.166651881989935,9.733439628935162,-1.2324742559279462,0.015,1.0,1.0,,500,1000,0.05,0,1399241406,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,1600,0.5,1600,1600,3200,fundamental,0.015941287790780412,51.01212093049732,51.50895774582106,48.166651881987086,9.733439628935072,-1.2324742559306747,0.015,1.0,1.0,,500,1000,0.05,0,1399241406,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,1600,0.5,1600,1600,3200,shared_orbit,0.015941287790780412,51.01212093049732,50.93949236635388,50.93949236635388,9.816085106801552,-35.17335824463362,0.0,1.0,1.0,1.0,500,1000,0.05,0,1399241406,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,3200,0.5,3200,3200,6400,full,0.015941287790780467,102.02424186099499,100.92828343898822,97.23940398487429,14.338872636503996,-1.865706616074256,0.007,1.0,1.0,,500,1000,0.05,0,3210996112,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,3200,0.5,3200,3200,6400,fundamental,0.015941287790780412,102.02424186099464,100.92828343899897,97.23940398488504,14.338872636504192,-1.86570661606698,0.007,1.0,1.0,,500,1000,0.05,0,3210996112,0,0,0,0,0,0,0,500
2,exact_orbit,0.18,3200,0.5,3200,3200,6400,shared_orbit,0.015941287790780412,102.02424186099464,100.48239255149554,100.48239255149554,14.36992527570077,-78.56612396785295,0.0,1.0,1.0,1.0,500,1000,0.05,0,3210996112,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,100,0.5,100,100,200,full,0.030299861980765966,6.059972396153193,6.618397861432802,4.662386358718728,3.6951306971646005,-0.05042845958021447,0.047,0.952,0.952,,500,1000,0.05,0,2894843012,0,24,0,0,0,0,1,475
2,exact_orbit,0.25,100,0.5,100,100,200,fundamental,0.03029986198076584,6.059972396153168,6.61839786143296,4.662386358718886,3.6951306971645996,-0.05042845958005815,0.047,0.952,0.952,,500,1000,0.05,0,2894843012,0,24,0,0,0,0,1,475
2,exact_orbit,0.25,100,0.5,100,100,200,shared_orbit,0.03029986198076584,6.059972396153168,6.0769552215908265,6.0769552215908265,3.758589728465134,-1.1224385493488853,0.007,0.982,0.998,1.0,500,1000,0.05,0,2894843012,0,24,0,0,0,0,1,475
2,exact_orbit,0.25,200,0.5,200,200,400,full,0.030299861980765966,12.119944792306386,12.680196387174936,10.37761129418089,4.99746928994712,-0.4302804426674336,0.024,0.998,0.998,,500,1000,0.05,0,3781702004,0,1,0,0,0,0,0,499
2,exact_orbit,0.25,200,0.5,200,200,400,fundamental,0.03029986198076584,12.119944792306336,12.680196387174892,10.377611294180847,4.9974692899471425,-0.43028044266726306,0.024,0.998,0.998,,500,1000,0.05,0,3781702004,0,1,0,0,0,0,0,499
2,exact_orbit,0.25,200,0.5,200,200,400,shared_orbit,0.03029986198076584,12.119944792306336,12.223557268574888,12.223557268574888,5.052637601203948,-5.0620668129298565,0.002,1.0,1.0,1.0,500,1000,0.05,0,3781702004,0,1,0,0,0,0,0,499
2,exact_orbit,0.25,400,0.5,400,400,800,full,0.030299861980765966,24.239889584612772,25.14374586994638,22.494587186672362,6.749579114384067,-0.526312439527524,0.026,1.0,1.0,,500,1000,0.05,0,2001303358,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,400,0.5,400,400,800,fundamental,0.03029986198076584,24.239889584612673,25.143745869946322,22.4945871866723,6.749579114384096,-0.5263124395277514,0.026,1.0,1.0,,500,1000,0.05,0,2001303358,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,400,0.5,400,400,800,shared_orbit,0.03029986198076584,24.239889584612673,24.5943530831353,24.5943530831353,6.840380137125713,-13.84354034809121,0.0,1.0,1.0,1.0,500,1000,0.05,0,2001303358,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,800,0.5,800,800,1600,full,0.030299861980765966,48.479779169225544,49.77998676174481,46.78425448819081,9.280484997025377,-1.2802816198274702,0.01,1.0,1.0,,500,1000,0.05,0,1002472245,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,800,0.5,800,800,1600,fundamental,0.03029986198076584,48.479779169225345,49.779986761744716,46.784254488190726,9.280484997025374,-1.2802816198274702,0.01,1.0,1.0,,500,1000,0.05,0,1002472245,0,0,0,0,0,0,0,500
